fiscal_year,naics4,category,dollars,actions
2022,2111,all,38060274.06,668
2022,2111,small_business,24053436.42,524
2022,2111,sdb,20931609.69,213
2022,2111,eight_a,2713883.33,7
2022,2111,wosb,13266826.93,123
2022,2111,hubzone,12700331.17,111
2022,2111,vosb,9850.00,2
2022,2111,woman_owned,13878917.45,134
2022,2121,all,35252744.00,22
2022,2121,small_business,35252744.00,22
2022,2122,all,-1092.00,5
2022,2122,small_business,-1092.00,5
2022,2123,all,55830476.20,840
2022,2123,small_business,47436826.45,623
2022,2123,sdb,17135708.05,169
2022,2123,eight_a,15745234.61,42
2022,2123,wosb,9785446.76,68
2022,2123,edwosb,6471413.45,25
2022,2123,hubzone,16098945.04,115
2022,2123,sdvosb,5259865.19,28
2022,2123,vosb,6278053.95,47
2022,2123,woman_owned,9993045.14,79
2022,2131,all,76833701.28,915
2022,2131,small_business,48048783.20,686
2022,2131,sdb,22335757.79,73
2022,2131,eight_a,19062.58,3
2022,2131,wosb,291952.07,38
2022,2131,edwosb,28899.96,6
2022,2131,hubzone,302012.75,11
2022,2131,sdvosb,353555.90,19
2022,2131,vosb,360693.97,61
2022,2131,woman_owned,1377761.60,50
2022,2211,all,1509264250.20,5965
2022,2211,small_business,132610900.94,622
2022,2211,sdb,25909427.22,149
2022,2211,eight_a,2150327.81,20
2022,2211,wosb,460691.71,76
2022,2211,edwosb,355848.61,15
2022,2211,hubzone,570417.76,16
2022,2211,sdvosb,10597634.52,72
2022,2211,vosb,10620477.42,88
2022,2211,woman_owned,954569.26,90
2022,2212,all,296866198.20,2615
2022,2212,small_business,75005988.53,905
2022,2212,sdb,20497810.84,335
2022,2212,eight_a,86788.68,6
2022,2212,wosb,10046348.18,215
2022,2212,edwosb,1139647.88,18
2022,2212,hubzone,9676684.91,176
2022,2212,sdvosb,969517.15,15
2022,2212,vosb,1086012.69,33
2022,2212,woman_owned,16286420.35,313
2022,2213,all,793711857.57,4629
2022,2213,small_business,68917285.46,958
2022,2213,sdb,31538234.93,412
2022,2213,eight_a,8730967.85,86
2022,2213,wosb,11797607.72,185
2022,2213,edwosb,6743731.93,94
2022,2213,hubzone,4374483.88,60
2022,2213,sdvosb,7702519.54,132
2022,2213,vosb,20846802.63,191
2022,2213,woman_owned,14675845.49,229
2022,2333,all,1905110.56,11
2022,2333,small_business,-1000.00,1
2022,2333,sdb,-1000.00,1
2022,2333,eight_a,-1000.00,1
2022,2349,all,361716524.81,19
2022,2355,all,0.00,1
2022,2355,small_business,0.00,1
2022,2361,all,666233230.77,858
2022,2361,small_business,60142784.59,262
2022,2361,sdb,36397225.00,179
2022,2361,eight_a,15953062.48,80
2022,2361,wosb,10120634.66,68
2022,2361,edwosb,7269465.98,51
2022,2361,hubzone,32569621.83,71
2022,2361,sdvosb,1234623.79,36
2022,2361,vosb,1552238.98,45
2022,2361,woman_owned,10738236.70,77
2022,2362,all,29529696705.47,55680
2022,2362,small_business,13097032730.75,43910
2022,2362,sdb,8562757846.98,29741
2022,2362,eight_a,3743427648.38,17807
2022,2362,wosb,2030605963.87,7707
2022,2362,edwosb,1249742718.49,5333
2022,2362,hubzone,2523161623.71,8935
2022,2362,sdvosb,3729324643.52,10760
2022,2362,vosb,3877947950.54,11733
2022,2362,woman_owned,2091179201.92,8208
2022,2371,all,1789379139.40,4663
2022,2371,small_business,1015452785.51,3633
2022,2371,sdb,692973869.08,2232
2022,2371,eight_a,429835985.07,867
2022,2371,wosb,101557195.70,492
2022,2371,edwosb,45764904.09,288
2022,2371,hubzone,212052952.67,376
2022,2371,sdvosb,88491764.35,479
2022,2371,vosb,100396495.23,578
2022,2371,woman_owned,108859717.55,525
2022,2372,all,229300.05,9
2022,2372,small_business,62754.05,3
2022,2372,sdb,62754.05,3
2022,2372,eight_a,0.00,1
2022,2372,sdvosb,62754.05,3
2022,2372,vosb,62754.05,3
2022,2373,all,2106600984.59,6118
2022,2373,small_business,1483538841.95,5156
2022,2373,sdb,771486901.89,2595
2022,2373,eight_a,331585415.61,1168
2022,2373,wosb,222484244.83,864
2022,2373,edwosb,117237525.56,517
2022,2373,hubzone,393115818.53,1361
2022,2373,sdvosb,50260136.42,381
2022,2373,vosb,78309188.95,640
2022,2373,woman_owned,248581601.37,1048
2022,2379,all,9199998423.33,6195
2022,2379,small_business,2854451053.29,4071
2022,2379,sdb,1614797251.61,2121
2022,2379,eight_a,429507990.47,1013
2022,2379,wosb,308607106.23,620
2022,2379,edwosb,93177842.32,266
2022,2379,hubzone,372225129.43,891
2022,2379,sdvosb,304257116.86,746
2022,2379,vosb,335223202.65,857
2022,2379,woman_owned,418101682.35,694
2022,2381,all,670174615.63,3563
2022,2381,small_business,529916785.17,2782
2022,2381,sdb,383255484.83,1920
2022,2381,eight_a,171436277.05,888
2022,2381,wosb,170918965.08,807
2022,2381,edwosb,109665602.63,546
2022,2381,hubzone,90210542.70,629
2022,2381,sdvosb,89405421.07,489
2022,2381,vosb,102550002.38,594
2022,2381,woman_owned,195043170.41,877
2022,2382,all,2156739593.88,17878
2022,2382,small_business,1468977316.29,13032
2022,2382,sdb,900785569.66,7273
2022,2382,eight_a,483447517.79,3582
2022,2382,wosb,297241616.78,2641
2022,2382,edwosb,159670075.71,1518
2022,2382,hubzone,256203497.97,1742
2022,2382,sdvosb,474286909.53,3220
2022,2382,vosb,533864846.18,3957
2022,2382,woman_owned,305117727.44,2886
2022,2383,all,229484239.44,4029
2022,2383,small_business,151799101.09,2523
2022,2383,sdb,117611044.16,1445
2022,2383,eight_a,71428399.99,711
2022,2383,wosb,41319432.19,707
2022,2383,edwosb,29204532.77,452
2022,2383,hubzone,28369658.67,336
2022,2383,sdvosb,26128171.29,437
2022,2383,vosb,21862771.01,503
2022,2383,woman_owned,43688707.93,753
2022,2389,all,1041496610.91,5288
2022,2389,small_business,460036570.46,3496
2022,2389,sdb,355581534.65,2316
2022,2389,eight_a,260009078.53,1288
2022,2389,wosb,91468233.95,838
2022,2389,edwosb,72005729.75,530
2022,2389,hubzone,137702003.75,716
2022,2389,sdvosb,100260889.68,470
2022,2389,vosb,164629557.69,745
2022,2389,woman_owned,94471542.90,889
2022,3111,all,14984877.13,428
2022,3111,small_business,10377942.97,267
2022,3111,sdb,4031901.95,78
2022,3111,wosb,3827290.81,63
2022,3111,edwosb,60075.00,1
2022,3111,sdvosb,729399.96,6
2022,3111,vosb,1224399.96,7
2022,3111,woman_owned,4199983.18,71
2022,3112,all,444380898.18,792
